German;Spanish
aussehen;verse
der Schmetterling, die Schmetterlinge;la mariposa, las mariposas
neben etw./jmdn. sein;estar al lado de algo/alguien
liegen;estar acostado
der Stern, die Sterne;la estrella, las estrellas
anderer;otro
das Kind, die Kinder;el niño, los niños
blind;ciego
klein;pequeño
das Licht;la luz
heiraten;casarse
etw./jmdn. vermissen;extrañar algo/a alguien
der Engel, die Engel;el ángel, los angeles
die Erde, die Erden;la tierra, las tierras
die Sonne, die Sonnen;el sol, los soles
der Himmel, die Himmel;el cielo, los cielos
